,CAGR,Vol,Sharpe,MaxDD,HitRate,Payoff,TotalReturn
Logistic,0.12966629981849898,0.08316031585115688,0.28731852731194824,-0.10846850405891717,0.7509727626459144,1.1560829403107955,12.614954894881993
RandomForest,0.138139118461728,0.07009035164929148,0.43115303307976577,-0.07720719753678418,0.8054474708171206,1.062780744444337,14.97780404794838
GradientBoosting,0.12589954946115567,0.07929806726082654,0.2540762750602222,-0.26962712298498515,0.7898832684824902,0.9963909249007934,11.675080838191175
MLP,0.13913916362361012,0.09307896562353263,0.35844130270513763,-0.19989146643301592,0.708171206225681,1.3540067555632218,15.281188563045774
Ensemble,0.1267162812965441,0.08710198333457347,0.24831057735634446,-0.298099597439737,0.7782101167315175,0.9155368541003768,11.873462564367815
IBOV,0.09339009452370206,0.22054054689767363,0.05605643207152969,-0.49588108882521487,0.5719844357976653,1.1045972618263347,5.767591617040767
Pesos iguais,0.14321406599200137,0.10767201656567678,0.35538236449817684,-0.21924089088003007,0.6575875486381323,1.3841149359722018,16.575130657882816
CDI,0.10684047779366446,0.010457146136323217,,0.0,1.0,,7.793352034998934
60/40,0.10984684722240301,0.1476630018174076,0.09259748267509661,-0.33259542195388214,0.5875486381322957,1.2660816817754235,8.31930898668121
